TRACT ,Estimated Median Family Income,Less Than High School,High School ,Some College ,College Graduate ,Graduate School ,Educational Attainment Score,% of Single Parent Households ,% of Owner Occupied Homes ,% of Population Speaking a Language Other than English ,Weighted Average NWEA Performance at Attendance Area Schools ,Number of School Age Children ,Estimated Median Family Income Cumulative Percentage ,Educational Attainment Score Cumulative Percentage ,% of Single Parent Households Cumulative Percentage ,% of Owner Occupied Homes Cumulative Percentage ,% of Population Speaking a Language Other than English Cumulative Percentage ,Weighted Average NWEA Performance at Attendance Area Schools Cumulative Percentage ,6-Factor Socioeconomic Score ,6-Factor Socioeconomic Tier
307.06,"$85,705.00",174,259,1008,524,1054,0.7342,49.55%,35.92%,35.95%,57.20%,235,86.22%,91.32%,39.11%,32.68%,51.27%,77.44%,0.6301,3
308,"$99,466.00",279,242,624,1471,1165,0.7587,51.19%,43.36%,19.73%,56.18%,468,90.18%,93.11%,37.89%,51.42%,64.28%,75.16%,0.6867,4
309,"$94,153.00",292,225,525,916,505,0.6907,18.85%,43.67%,31.99%,59.27%,349,89.06%,89.05%,84.48%,51.50%,54.44%,80.55%,0.7485,4
310,"$80,912.00",196,207,421,936,827,0.7539,18.79%,38.57%,24.18%,50.15%,316,83.48%,92.88%,84.84%,39.43%,61.12%,50.53%,0.6871,4
311,"$100,492.00",244,379,797,1285,790,0.7143,40.85%,30.22%,38.43%,52.05%,320,90.34%,90.22%,48.38%,18.53%,47.83%,58.84%,0.5902,3
312,"$28,377.00",786,1264,952,712,669,0.5641,53.92%,21.55%,36.27%,54.56%,663,10.97%,69.77%,35.50%,5.75%,50.71%,69.59%,0.4038,2
313,"$60,646.00",753,923,1284,1195,970,0.6276,35.35%,37.25%,43.01%,53.92%,706,70.30%,81.89%,55.84%,35.78%,44.86%,67.82%,0.5941,3
314,"$126,011.00",211,329,529,1921,1583,0.7896,57.79%,58.84%,19.20%,52.49%,194,94.13%,95.93%,32.44%,75.58%,64.81%,60.84%,0.7062,4
315.01,"$36,631.00",465,578,787,981,469,0.6251,39.20%,20.67%,39.38%,52.49%,525,26.85%,81.63%,50.88%,5.00%,47.39%,61.09%,0.4547,2
315.02,"$34,237.00",360,738,964,889,284,0.5999,58.15%,14.96%,36.85%,52.49%,582,21.44%,78.11%,31.53%,2.15%,49.71%,60.97%,0.4065,2
317,"$46,190.00",556,785,999,1743,993,0.6722,37.85%,34.53%,26.65%,45.16%,675,49.21%,87.24%,51.91%,29.20%,58.57%,32.82%,0.5149,3
318,"$124,448.00",127,135,168,586,356,0.7325,23.31%,41.20%,33.13%,59.74%,192,93.89%,91.21%,78.09%,45.95%,53.22%,81.06%,0.739,4
